Czas;VA;VB;TB
0x;5x;1x;20x
1x;-266.231x;272.143x;20137.5x
2x;-266.231x;271.988x;20136.8x
3x;-266.231x;271.833x;20136x
4x;-266.231x;271.678x;20135.3x
5x;-266.231x;271.523x;20134.6x
6x;-266.231x;271.368x;20133.8x
7x;-266.231x;271.214x;20133.1x
8x;-266.231x;271.059x;20132.3x
9x;-266.231x;270.905x;20131.6x
10x;-266.231x;270.75x;20130.8x
11x;-266.231x;270.595x;20130.1x
12x;-266.231x;270.441x;20129.4x
13x;-266.231x;270.287x;20128.6x
14x;-266.231x;270.132x;20127.9x
15x;-266.231x;269.978x;20127.1x
16x;-266.231x;269.824x;20126.4x
17x;-266.231x;269.669x;20125.6x
18x;-266.231x;269.515x;20124.9x
19x;-266.231x;269.361x;20124.1x
20x;-266.231x;269.207x;20123.4x
21x;-266.231x;269.053x;20122.7x
22x;-266.231x;268.899x;20121.9x
23x;-266.231x;268.745x;20121.2x
24x;-266.231x;268.591x;20120.4x
25x;-266.231x;268.437x;20119.7x
26x;-266.231x;268.283x;20118.9x
27x;-266.231x;268.129x;20118.2x
28x;-266.231x;267.976x;20117.4x
29x;-266.231x;267.822x;20116.7x
30x;-266.231x;267.668x;20115.9x
31x;-266.231x;267.515x;20115.2x
32x;-266.231x;267.361x;20114.4x
33x;-266.231x;267.208x;20113.7x
34x;-266.231x;267.054x;20112.9x
35x;-266.231x;266.901x;20112.2x
36x;-266.231x;266.748x;20111.4x
37x;-266.231x;266.594x;20110.6x
38x;-266.231x;266.441x;20109.9x
39x;-266.231x;266.288x;20109.1x
40x;-266.231x;266.135x;20108.4x
41x;-266.231x;265.982x;20107.6x
42x;-266.231x;265.829x;20106.9x
43x;-266.231x;265.676x;20106.1x
44x;-266.231x;265.523x;20105.4x
45x;-266.231x;265.37x;20104.6x
46x;-266.231x;265.217x;20103.8x
47x;-266.231x;265.064x;20103.1x
48x;-266.231x;264.911x;20102.3x
49x;-266.231x;264.758x;20101.6x
50x;-266.231x;264.606x;20100.8x
51x;-266.231x;264.453x;20100.1x
52x;-266.231x;264.3x;20099.3x
53x;-266.231x;264.148x;20098.5x
54x;-266.231x;263.995x;20097.8x
55x;-266.231x;263.843x;20097x
56x;-266.231x;263.691x;20096.3x
57x;-266.231x;263.538x;20095.5x
58x;-266.231x;263.386x;20094.7x
59x;-266.231x;263.234x;20094x
60x;-266.231x;263.081x;20093.2x
61x;-266.231x;262.929x;20092.4x
62x;-266.231x;262.777x;20091.7x
63x;-266.231x;262.625x;20090.9x
64x;-266.231x;262.473x;20090.2x
65x;-266.231x;262.321x;20089.4x
66x;-266.231x;262.169x;20088.6x
67x;-266.231x;262.017x;20087.9x
68x;-266.231x;261.865x;20087.1x
69x;-266.231x;261.714x;20086.3x
70x;-266.231x;261.562x;20085.6x
71x;-266.231x;261.41x;20084.8x
72x;-266.231x;261.258x;20084x
73x;-266.231x;261.107x;20083.3x
74x;-266.231x;260.955x;20082.5x
75x;-266.231x;260.804x;20081.7x
76x;-266.231x;260.652x;20080.9x
77x;-266.231x;260.501x;20080.2x
78x;-266.231x;260.349x;20079.4x
79x;-266.231x;260.198x;20078.6x
80x;-266.231x;260.047x;20077.9x
81x;-266.231x;259.896x;20077.1x
82x;-266.231x;259.744x;20076.3x
83x;-266.231x;259.593x;20075.5x
84x;-266.231x;259.442x;20074.8x
85x;-266.231x;259.291x;20074x
86x;-266.231x;259.14x;20073.2x
87x;-266.231x;258.989x;20072.5x
88x;-266.231x;258.838x;20071.7x
89x;-266.231x;258.687x;20070.9x
90x;-266.231x;258.537x;20070.1x
91x;-266.231x;258.386x;20069.4x
92x;-266.231x;258.235x;20068.6x
93x;-266.231x;258.084x;20067.8x
94x;-266.231x;257.934x;20067x
95x;-266.231x;257.783x;20066.2x
96x;-266.231x;257.633x;20065.5x
97x;-266.231x;257.482x;20064.7x
98x;-266.231x;257.332x;20063.9x
99x;-266.231x;257.181x;20063.1x
100x;-266.231x;257.031x;20062.4x
101x;-266.231x;256.881x;20061.6x
102x;-266.231x;256.73x;20060.8x
103x;-266.231x;256.58x;20060x
104x;-266.231x;256.43x;20059.2x
105x;-266.231x;256.28x;20058.4x
106x;-266.231x;256.13x;20057.7x
107x;-266.231x;255.98x;20056.9x
108x;-266.231x;255.83x;20056.1x
109x;-266.231x;255.68x;20055.3x
110x;-266.231x;255.53x;20054.5x
111x;-266.231x;255.38x;20053.7x
112x;-266.231x;255.231x;20053x
113x;-266.231x;255.081x;20052.2x
114x;-266.231x;254.931x;20051.4x
115x;-266.231x;254.781x;20050.6x
116x;-266.231x;254.632x;20049.8x
117x;-266.231x;254.482x;20049x
118x;-266.231x;254.333x;20048.2x
119x;-266.231x;254.183x;20047.5x
120x;-266.231x;254.034x;20046.7x
121x;-266.231x;253.885x;20045.9x
122x;-266.231x;253.735x;20045.1x
123x;-266.231x;253.586x;20044.3x
124x;-266.231x;253.437x;20043.5x
125x;-266.231x;253.288x;20042.7x
126x;-266.231x;253.138x;20041.9x
127x;-266.231x;252.989x;20041.1x
128x;-266.231x;252.84x;20040.4x
129x;-266.231x;252.691x;20039.6x
130x;-266.231x;252.542x;20038.8x
131x;-266.231x;252.394x;20038x
132x;-266.231x;252.245x;20037.2x
133x;-266.231x;252.096x;20036.4x
134x;-266.231x;251.947x;20035.6x
135x;-266.231x;251.798x;20034.8x
136x;-266.231x;251.65x;20034x
