Czas;VA;VB;TB
0;5;1;20
1;4.9913;1.00868;20.644
2;4.9826;1.01731;21.2701
3;4.97391;1.02589;21.8792
4;4.96523;1.03443;22.4717
5;4.95656;1.04291;23.0484
6;4.94789;1.05134;23.6097
7;4.93923;1.05973;24.1563
8;4.93058;1.06806;24.6886
9;4.92194;1.07635;25.2071
10;4.9133;1.08459;25.7124
11;4.90467;1.09279;26.2048
12;4.89605;1.10093;26.6848
13;4.88744;1.10903;27.1529
14;4.87884;1.11709;27.6093
15;4.87024;1.1251;28.0546
16;4.86165;1.13306;28.489
17;4.85307;1.14098;28.9129
18;4.84449;1.14886;29.3266
19;4.83592;1.15669;29.7305
20;4.82736;1.16447;30.1249
21;4.81881;1.17222;30.5101
22;4.81027;1.17992;30.8863
23;4.80173;1.18758;31.2538
24;4.7932;1.19519;31.6129
25;4.78468;1.20276;31.9639
26;4.77616;1.21029;32.3069
27;4.76766;1.21778;32.6423
28;4.75916;1.22523;32.9702
29;4.75067;1.23263;33.2908
30;4.74218;1.24;33.6045
31;4.73371;1.24732;33.9112
32;4.72524;1.25461;34.2114
33;4.71678;1.26185;34.505
34;4.70832;1.26906;34.7925
35;4.69988;1.27622;35.0737
36;4.69144;1.28335;35.3491
37;4.68301;1.29043;35.6187
38;4.67458;1.29748;35.8827
39;4.66617;1.30449;36.1412
40;4.65776;1.31146;36.3943
41;4.64936;1.3184;36.6423
42;4.64097;1.32529;36.8853
43;4.63258;1.33215;37.1233
44;4.6242;1.33897;37.3565
45;4.61583;1.34575;37.5851
46;4.60747;1.3525;37.8091
47;4.59911;1.35921;38.0287
48;4.59077;1.36589;38.244
49;4.58243;1.37253;38.455
50;4.5741;1.37913;38.6619
51;4.56577;1.3857;38.8649
52;4.55745;1.39223;39.0639
53;4.54914;1.39872;39.259
54;4.54084;1.40519;39.4505
55;4.53255;1.41161;39.6383
56;4.52426;1.41801;39.8226
57;4.51598;1.42436;40.0034
58;4.50771;1.43069;40.1808
59;4.49945;1.43698;40.3549
60;4.49119;1.44323;40.5258
61;4.48294;1.44946;40.6935
62;4.4747;1.45564;40.8581
63;4.46646;1.4618;41.0197
64;4.45824;1.46792;41.1783
65;4.45002;1.47401;41.3341
66;4.44181;1.48007;41.4871
67;4.43361;1.4861;41.6373
68;4.42541;1.49209;41.7848
69;4.41722;1.49805;41.9296
70;4.40904;1.50398;42.0719
71;4.40087;1.50988;42.2116
72;4.3927;1.51574;42.3489
73;4.38454;1.52158;42.4838
74;4.37639;1.52738;42.6163
75;4.36825;1.53315;42.7464
