Metoda;Krok_Typ;h0;Iteracja;x0_1;x0_2;x_opt_1;x_opt_2;y_opt;f_calls;g_calls;H_calls;Status
SD;Staly 0.05;0.05;1;-0.319611;1.92647;-4.12724e-06;9.96403e-06;9.22262e-11;148;147;0;1
SD;Staly 0.05;0.05;2;-0.504542;-1.11713;4.15801e-06;-1.00383e-05;9.36064e-11;137;136;0;1
SD;Staly 0.05;0.05;3;-1.94182;-1.41463;-1.74755;0.873767;0.298638;126;125;0;1
SD;Staly 0.05;0.05;4;1.00188;-0.0873675;4.13825e-06;-9.99063e-06;9.27191e-11;140;139;0;1
SD;Staly 0.05;0.05;5;-1.7739;0.137154;-1.74755;0.873767;0.298638;114;113;0;1
SD;Staly 0.05;0.05;6;-0.052814;1.17268;-4.40108e-06;1.06252e-05;1.04871e-10;140;139;0;1
SD;Staly 0.05;0.05;7;-0.727136;-0.558241;4.1053e-06;-9.91107e-06;9.12483e-11;117;116;0;1
SD;Staly 0.05;0.05;8;-1.76264;-1.65504;-1.74755;0.873767;0.298638;127;126;0;1
SD;Staly 0.05;0.05;9;1.42055;-1.3403;1.74755;-0.873785;0.298638;108;107;0;1
SD;Staly 0.05;0.05;10;-0.609583;-1.94618;4.39294e-06;-1.06055e-05;1.04483e-10;144;143;0;1
SD;Staly 0.05;0.05;11;-1.79949;0.00847795;-1.74755;0.873767;0.298638;116;115;0;1
SD;Staly 0.05;0.05;12;-0.394064;1.31691;-4.42808e-06;1.06903e-05;1.06161e-10;143;142;0;1
SD;Staly 0.05;0.05;13;-1.70066;-1.19943;-1.74755;0.873767;0.298638;125;124;0;1
SD;Staly 0.05;0.05;14;0.0427069;-1.15833;4.33005e-06;-1.04537e-05;1.01513e-10;140;139;0;1
SD;Staly 0.05;0.05;15;-0.494545;-1.1863;4.15308e-06;-1.00264e-05;9.33849e-11;138;137;0;1
SD;Staly 0.05;0.05;16;1.71473;0.128418;1.74755;-0.873767;0.298638;117;116;0;1
SD;Staly 0.05;0.05;17;1.23411;1.81914;-4.2666e-06;1.03005e-05;9.85595e-11;134;133;0;1
SD;Staly 0.05;0.05;18;0.512957;-1.52608;4.24172e-06;-1.02404e-05;9.74136e-11;146;145;0;1
SD;Staly 0.05;0.05;19;0.242073;0.975962;-4.0918e-06;9.87849e-06;9.06494e-11;137;136;0;1
SD;Staly 0.05;0.05;20;0.162441;-1.04787;4.12175e-06;-9.95078e-06;9.1981e-11;140;139;0;1
SD;Staly 0.05;0.05;21;0.853264;0.781966;-4.09221e-06;9.87946e-06;9.06673e-11;123;122;0;1
SD;Staly 0.05;0.05;22;0.915426;-0.865609;4.28779e-06;-1.03516e-05;9.95411e-11;147;146;0;1
SD;Staly 0.05;0.05;23;-1.47152;-1.29699;-1.74755;0.873767;0.298638;127;126;0;1
SD;Staly 0.05;0.05;24;-1.23142;-0.480793;-4.39239e-06;1.06042e-05;1.04457e-10;158;157;0;1
